stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,nearest_node
"Martinsried, Max-Planck-Inst.",315719,291283,48.105965,11.458901,,,3114380588
"Martinsried, Max-Planck-Inst.",315719,393466,48.106064,11.458604,,,3114380588
"Martinsried, Nord",52985,187354,48.11122,11.451912,,,3114380588
"Martinsried, Nord",52985,372470,48.111263,11.452038,,,3114380588
"Martinsried, Ortsmitte",294381,22375,48.10894,11.451292,,,3114380588
"Martinsried, Ortsmitte",294381,469028,48.109116,11.452056,,,3114380588
"Martinsried, Ortsmitte",294381,673712,48.109146,11.451912,,,3114380588
"Martinsried, Würmtalstraße",352224,285509,48.11465,11.453035,,,103505741
"Martinsried, Würmtalstraße",352224,589845,48.11489,11.452559,,,103505741
Matterhornstraße,111873,323650,48.114513,11.652003,,,13344083
Matterhornstraße,111873,356130,48.114807,11.65256,,,13344083
Mauerkircherstraße,188164,391731,48.14889,11.600215,,,1570966980
Mauerkircherstraße,188164,396927,48.148777,11.601239,,,1570967041
Max-Bill-Straße,353269,28508,48.187576,11.59708,,,3251921286
Max-Bill-Straße,353269,665176,48.187393,11.597026,,,1591378915
Max-Born-Straße,419192,529246,48.19185,11.502074,,,197676943
Max-Born-Straße,419192,98308,48.19188,11.502244,,,440586
Max-Diamand-Straße,338873,267043,48.191494,11.567579,,,26940611
Max-Diamand-Straße,338873,361501,48.19161,11.567534,,,26940611
Max-Lebsche-Platz,214534,618129,48.108505,11.475394,,,21583730
Max-Lebsche-Platz,214534,96471,48.108643,11.475412,,,21583730
Max-Weber-Platz,435451,181953,48.135597,11.599927,,,637877340
Max-Weber-Platz,435451,438143,48.136017,11.597843,,,1688588916
Max-Weber-Platz,435451,490572,48.13616,11.598023,,,430234731
Max-Weber-Platz,435451,500768,48.135567,11.598894,,,637877340
Max-Weber-Platz,435451,538389,48.13573,11.598894,,,637877340
Max-Weber-Platz,435451,578875,48.13549,11.599909,,,637877340
Max-Weber-Platz,435451,591071,48.13566,11.598894,,,637877340
Max-Weber-Platz,435451,654556,48.13568,11.598571,,,637877340
Max-Weber-Platz,435451,79148,48.135754,11.599864,,,637877340
Max-Weber-Platz,435451,99999,48.135765,11.600628,,,637877340
Max-Weber-Platz (Johannispl.),147662,164762,48.134403,11.598229,,,11250182376
Max-Weber-Platz (Johannispl.),147662,493234,48.134453,11.598023,,,11250182376
Max-Wönner-Straße,74204,321598,48.199333,11.535554,,,32628761
Max-Wönner-Straße,74204,649354,48.19941,11.535913,,,32628761
Maxhofstraße,196089,252719,48.08819,11.479221,,1,1557374728
Maximilianeum,569100,467452,48.136143,11.595867,,,1954903
Maximilianeum,569100,573878,48.136005,11.596029,,,18292347
Maximiliansplatz,513352,15285,48.14201,11.572744,,,18668573
Maximiliansplatz,513352,313731,48.142784,11.572295,,,18668573
Maxmonument,182856,282603,48.137856,11.587674,,,1609996756
Maxmonument,182856,409593,48.137257,11.588474,,,1120334746
Maxmonument,182856,490790,48.137672,11.588034,,,3955447216
Maxmonument,182856,648114,48.137455,11.58824,,,3955447207
Maxvorstadt/Samml. Brandhorst,592681,72023,48.148346,11.57428,,1,1954365
Melchiorstraße,169973,122005,48.072243,11.520399,,,417646884
Melchiorstraße,169973,348677,48.07218,11.519474,,,8260346951
Melchiorstraße,169973,77028,48.07211,11.519735,,,8260346951
Melchiorstraße,169973,89563,48.072353,11.520337,,,417646884
Memeler Straße,549213,219263,48.15357,11.641411,,,21507964
Memeler Straße,549213,683260,48.153023,11.64116,,,21507964
Menaristraße,534952,165395,48.128887,11.494537,,,31119602
Menaristraße,534952,409652,48.128925,11.493899,,,31119602
Menterschwaige,675226,333400,48.08022,11.551867,,,1684963573
Menterschwaige,675226,586248,48.080063,11.55167,,,1684963573
Menterstraße,381481,388721,48.161213,11.466986,,,151222690
Menterstraße,381481,432971,48.161232,11.467138,,,151222690
Merseburger Straße,508460,478172,48.185955,11.521064,,,596893
Merseburger Straße,508460,631172,48.18592,11.521226,,,596893
Messestadt Ost,313348,119958,48.133347,11.703261,,,17193258
Messestadt Ost,313348,237598,48.13342,11.703261,,,17193258
Messestadt Ost,313348,268759,48.13364,11.704877,,,1806501
Messestadt Ost,313348,653451,48.13327,11.703413,,,17193258
Messestadt Ost,313348,89335,48.133278,11.704087,,,1806571
Messestadt Ost,313348,98681,48.13345,11.703889,,,1806571
Messestadt West,379430,199217,48.133396,11.690756,,,7966661765
Messestadt West,379430,23292,48.13333,11.690154,,,428679
Messestadt West,379430,447981,48.13347,11.690756,,,7966661766
Messestadt West,379430,618538,48.133514,11.689516,,,1806415
Mettenstraße,128488,50092,48.16838,11.514282,,,31328280
Mettenstraße,128488,661113,48.168068,11.514767,,,31328280
Michaelibad,289416,245555,48.118362,11.631413,,,1077015255
Michaelibad,289416,306678,48.118694,11.630192,,,17713265
Michaelibad,289416,348572,48.11877,11.63144,,,1077015255
Michaelibad,289416,476,48.119106,11.630928,,,11598328
Michaelibad,289416,576756,48.1193,11.630659,,,987100128
Michaelibad,289416,636247,48.118465,11.631467,,,1077015255
Milbertshofen,569075,124779,48.180946,11.573104,,,36246326
Milbertshofen,569075,153741,48.182083,11.573175,,,33637507
Milbertshofen,569075,256296,48.182083,11.572987,,,33637507
Milbertshofen,569075,43009,48.180954,11.573193,,,36246326
Milbertshofener Platz,487666,296802,48.1848,11.566681,,,1955629
Milbertshofener Platz,487666,638704,48.18435,11.566393,,,269139904
Milbertshofener Straße,350443,430669,48.184464,11.575385,,,737158143
Milbertshofener Straße,350443,76278,48.18434,11.575358,,,737158143
Mildred-Scheel-Bogen,243217,512619,48.175312,11.581674,,,1600237996
Mildred-Scheel-Bogen,243217,530440,48.175327,11.581898,,,1600237996
Mindelheimer Straße,586486,236576,48.079967,11.491977,,,286454360
Mindelheimer Straße,586486,586904,48.080143,11.492264,,,286459385
Minnewitstraße,217152,118323,48.091137,11.596855,,,32621598
Minnewitstraße,217152,232797,48.09118,11.597673,,,32621598
Minnewitstraße,217152,387096,48.090885,11.597295,,,32621598
Mitterfeldstraße,636135,138449,48.137676,11.483766,,,25075294
Mitterfeldstraße,636135,79987,48.137394,11.484036,,,25075294
Mitterndorf,226585,151292,48.257774,11.417048,,,11296261124
Mitterndorf,226585,70634,48.257645,11.417668,,,11296261124
Mitterweg,347469,195946,48.101433,11.610491,,,32268804
Mitterweg,347469,415601,48.101322,11.610429,,,32268804
Moosach,617307,219866,48.18048,11.505371,,,2744604973
Moosach,617307,219976,48.180935,11.508146,,,171476773
Moosach,617307,31150,48.181114,11.506035,,,315110039
Moosach,617307,360417,48.18044,11.507482,,,171476760
Moosach,617307,363146,48.180775,11.506107,,,315110039
Moosach,617307,44410,48.181,11.508146,,,171476773
Moosach,617307,449815,48.18163,11.508784,,,9464103403
Moosach,617307,486341,48.180637,11.507356,,,171476760
Moosach,617307,544308,48.180397,11.507284,,,171476760
Moosach,617307,630287,48.180576,11.505083,,,2744604973
Moosacher St.-Martins-Platz,396242,293305,48.18187,11.517354,,,31350994
Moosacher St.-Martins-Platz,396242,294671,48.18189,11.518594,,,31351219
Moosacher St.-Martins-Platz,396242,509001,48.181763,11.517381,,,31350994
Moosacher St.-Martins-Platz,396242,72852,48.181816,11.518594,,,31351219
Moosacher Straße,276414,16375,48.187183,11.564704,,,27475751
Moosacher Straße,276414,415408,48.18756,11.566285,,,13658897
Moosacher Straße,276414,437338,48.187134,11.566797,,,13658890
Moosacher Straße,276414,612302,48.186836,11.565953,,,21225733
Moosfeld,77067,632668,48.130756,11.671038,,,21286242
Moosfeld,77067,680206,48.130787,11.670957,,,21286242
Moosfeld Gewerbegebiet,271740,342541,48.13568,11.668388,,,428707
Moosfeld Gewerbegebiet,271740,602685,48.136135,11.668217,,,428707
Moosfeld Gewerbegebiet,271740,659933,48.13587,11.667651,,,428707
Moselstraße,365119,310809,48.141777,11.627326,,,29941776
Moselstraße,365119,375532,48.14188,11.627155,,,29941776
Munckerstraße,615690,123459,48.089424,11.503089,,,1705421723
Munckerstraße,615690,646796,48.08961,11.502739,,,1705421659
Munich East (Bus station Messestadt Ost),313348,119988,48.135117,11.705083,,,1806501
Munich Fröttmaning,49381,206842,48.21082,11.618642,,,221616076
Munich central bus station,161425,120656,48.14248,11.55001,,,814227811
Murnauer Straße,564169,182227,48.10198,11.524047,,,419360340
Murnauer Straße,564169,261465,48.101936,11.524451,,,26124664
Muspillistraße,586402,200803,48.169903,11.624415,,,49493431
Muspillistraße,586402,669256,48.169903,11.624577,,,49493431
Mutschellestraße,96660,359685,48.126686,11.637908,,,21593602
Mutschellestraße,96660,81150,48.12667,11.638582,,,21593601
Mutter-Teresa-Straße,335005,373644,48.129482,11.699802,,,27546264
Mutter-Teresa-Straße,335005,677139,48.129597,11.699694,,,27546264
Mönchbergstraße,493251,190998,48.115948,11.659378,,,20463379
Mönchbergstraße,493251,232145,48.1157,11.66024,,,15612589
Möschenfeld,316795,472946,48.07538,11.77385,,,307480216
Möschenfeld Abzw.,135809,298006,48.07192,11.772871,,,307480216
Mühldorfstraße,468500,398119,48.126854,11.613375,,,21522287
Mühldorfstraße,468500,524536,48.126488,11.613654,,,21522291
Müllerstraße,168817,229948,48.131172,11.571334,,,363169
Müllerstraße,168817,274955,48.13164,11.572232,,,363169
Müllerstraße,168817,29385,48.131203,11.571064,,,19102457
München Donnersbergerbrücke,669154,363566,48.142624,11.536537,,,304874478
München Hackerbrücke,634898,325537,48.141968,11.548572,,,941369075
München Harras,45965,682746,48.11775,11.536311,,,26345814
München Hbf,485910,222593,48.141304,11.559126,,,21642942
München Hbf,485910,50106,48.140232,11.558335,,,1100013411
München Hbf (tief),526459,640721,48.14117,11.560493,,,728736780
